id,label
1,0
3,0
6,1
12,1
13,1
14,0
17,0
18,1
20,0
21,1
22,1
24,1
25,1
27,1
28,1
31,1
32,1
34,0
37,0
38,0
40,1
41,0
42,1
44,0
45,0
55,0
59,0
60,0
61,0
66,1
67,1
68,1
69,0
70,0
71,1
73,0
74,1
75,1
77,0
78,1
79,1
82,1
83,1
86,0
87,0
88,1
89,1
90,0
92,0
95,1
100,0
101,1
103,0
104,1
105,1
107,1
110,1
111,0
112,0
114,1
116,0
117,1
118,1
119,1
120,0
121,1
122,1
123,0
126,1
128,1
130,1
136,0
137,1
141,1
142,1
145,0
149,0
155,0
157,1
158,1
159,0
160,0
161,1
162,0
163,1
164,0
167,1
168,0
170,0
171,1
172,1
174,0
176,1
178,1
179,0
180,0
181,1
182,0
186,0
190,0
192,1
195,1
200,1
202,1
207,0
209,1
214,1
215,1
216,0
222,1
223,1
226,1
227,1
228,1
229,0
233,0
234,1
236,1
238,0
243,1
245,0
246,1
248,1
249,1
250,0
252,0
255,1
257,0
258,0
259,0
260,1
262,1
263,1
272,0
273,0
275,0
276,0
278,1
280,0
284,0
287,1
288,1
289,1
293,0
294,0
295,0
298,1
299,1
302,0
307,0
309,1
311,1
312,1
315,1
318,0
319,1
320,0
321,1
323,0
325,0
326,0
328,0
329,0
331,0
333,0
334,1
335,1
338,1
339,0
341,1
342,1
343,1
346,0
350,0
353,1
354,1
356,0
357,0
361,1
363,0
364,1
367,1
368,0
373,0
374,1
375,0
378,1
379,1
382,0
384,0
386,1
387,1
388,0
390,0
392,0
393,1
394,1
395,0
397,1
400,0
402,1
403,0
407,1
408,0
411,1
412,1
413,1
416,1
419,0
420,1
422,0
428,1
430,1
434,0
439,0
442,1
444,0
448,1
449,0
450,1
451,0
452,1
453,1
454,0
456,1
457,1
460,1
463,0
467,0
469,1
473,0
477,1
478,1
479,0
481,0
485,1
487,0
488,0
489,1
490,0
491,0
497,0
499,1
502,1
504,1
507,1
508,0
509,0
510,0
511,0
514,1
516,0
518,0
519,1
520,1
521,1
523,0
525,0
530,0
531,1
536,0
537,1
539,1
544,0
546,0
550,0
551,0
553,1
556,1
559,0
560,0
562,0
563,0
568,1
570,1
572,1
573,0
577,0
582,0
584,0
585,0
591,1
595,0
596,1
598,0
600,0
601,0
604,0
609,0
610,0
612,0
622,1
623,0
625,0
627,1
629,0
630,0
633,1
634,0
635,1
636,1
639,1
642,1
645,1
647,0
648,1
650,1
651,1
656,0
657,1
661,1
662,0
663,1
666,0
668,0
669,0
671,0
673,1
675,0
676,0
678,0
679,0
680,0
681,0
688,0
692,0
694,1
695,0
697,0
705,1
706,1
708,1
712,0
714,1
715,0
716,0
717,1
719,0
720,0
721,0
723,1
725,0
726,0
730,0
735,0
736,1
737,1
739,0
740,0
741,0
744,0
745,1
747,1
752,1
753,0
754,0
760,0
761,0
762,1
763,0
764,1
765,1
767,0
768,0
769,1
771,0
776,0
778,0
779,0
783,1
784,1
786,0
788,1
789,1
791,1
792,1
795,1
796,0
797,0
800,0
801,1
803,1
805,0
808,1
813,1
816,0
819,0
824,0
829,0
831,0
833,1
834,0
835,1
836,0
838,0
839,0
843,0
844,0
848,1
852,0
853,0
854,0
855,0
857,1
858,0
859,1
862,0
864,0
865,1
866,1
867,0
868,0
870,0
871,0
872,1
873,1
874,0
875,1
877,0
879,0
881,1
882,0
885,1
886,0
887,0
892,0
894,1
898,1
899,1
900,1
904,1
909,1
910,0
912,1
914,0
915,0
917,0
918,0
919,0
920,0
925,1
928,1
929,0
930,0
932,0
933,1
939,0
941,0
942,1
944,0
946,0
950,0
952,0
955,0
957,1
958,0
959,0
961,0
963,1
965,1
966,0
968,1
969,1
971,0
976,0
979,0
981,1
982,0
983,0
984,1
985,0
986,1
987,1
988,0
989,0
990,1
993,1
994,0
996,0
997,1
1004,1
1005,0
1006,1
1007,1
1011,0
1012,1
1013,1
1014,1
1015,0
1016,1
1019,0
1021,0
1022,1
1023,1
1026,0
1028,1
1030,1
1031,0
1032,1
1033,0
1035,1
1037,1
1038,0
1040,1
1043,0
1046,1
1050,0
1052,0
1053,0
1054,0
1056,0
1063,0
1065,0
1068,1
1069,1
1070,0
1072,1
1073,0
1075,0
1076,1
1083,0
1087,1
1089,0
1093,1
1094,1
1095,0
1096,0
1098,0
1101,1
1105,0
1107,0
1108,1
1111,0
1112,1
1114,0
1117,1
1119,1
1123,1
1126,0
1127,1
1128,1
1131,0
1132,1
1136,0
1142,1
1147,1
1148,1
1149,1
1150,0
1151,1
1155,0
1157,1
1159,0
1160,1
1161,1
1162,1
1163,1
1164,0
1165,1
1168,1
1170,1
1171,0
1172,1
1174,0
1175,0
1176,1
1178,1
1179,1
1182,1
1185,0
1186,1
1187,1
1189,0
1193,1
1194,0
1198,0
1199,0
1204,1
1205,0
1206,1
1207,1
1208,0
1209,1
1211,1
1213,0
1214,1
1215,0
1216,0
1217,0
1219,0
1220,0
1226,0
1227,1
1231,1
1232,1
1235,1
1242,0
1243,0
1245,0
1246,0
1250,1
1251,0
1252,1
1254,1
1255,0
1256,1
1265,0
1268,1
1270,1
1274,1
1275,1
1277,0
1278,1
1279,0
1280,0
1281,1
1283,1
1284,0
1285,0
1286,1
1289,0
1292,1
1293,1
1294,0
1298,0
1299,0
1301,0
1304,0
1305,0
1308,0
1311,1
1320,1
1322,1
1323,1
1325,1
1334,0
1336,0
1337,0
1339,0
1341,1
1342,1
1345,1
1346,0
1348,1
1349,0
1351,0
1354,0
1355,0
1357,0
1360,1
1362,1
1363,0
1366,0
1368,0
1369,1
1372,0
1375,0
1377,0
1378,0
1382,0
1384,0
1386,0
1389,0
1390,1
1394,0
1395,0
1396,1
1399,1
1400,0
1401,1
1404,1
1406,1
1408,0
1410,1
1411,1
1414,1
1416,1
1420,0
1423,1
1424,1
1425,1
1427,0
1430,1
1432,0
1433,0
1435,0
1436,1
1442,1
1443,0
1444,0
1445,1
1446,1
1447,1
1449,0
1451,0
1453,0
1454,1
1455,1
1456,0
1457,0
1458,0
1459,1
1460,1
1461,1
1463,0
1464,1
1465,1
1468,0
1469,0
1470,0
1471,1
1473,0
1476,0
1479,1
1480,0
1481,0
1482,0
1484,0
1486,0
1488,0
1489,1
1490,0
1492,1
1493,0
1494,0
1495,1
1496,1
1498,0
1499,0
1502,0
1503,0
1505,1
1506,0
1513,1
1514,0
1515,0
1516,1
1520,1
1521,0
1522,1
1527,0
1529,1
1531,0
1534,0
1535,1
1537,1
1541,1
1543,1
1544,0
1545,1
1546,0
1547,1
1548,1
1549,1
1550,0
1551,0
1552,1
1553,0
1554,0
1556,1
1557,0
1558,0
1562,1
1563,0
1564,1
1565,0
1566,1
1567,1
1570,1
1571,0
1573,1
1574,1
1575,1
1576,0
1578,0
1579,0
1580,0
1582,0
1584,0
1585,1
1586,0
1587,0
1588,0
1590,0
1591,1
1593,1
1594,1
1600,1
1601,1
1605,0
1606,0
1610,0
1612,1
1613,1
1614,1
1616,0
1617,0
1618,0
1619,1
1622,0
1624,0
1625,1
1626,1
1628,1
1633,0
1634,1
1635,1
1638,0
1639,0
1641,1
1642,1
1645,0
1646,0
1648,0
1649,1
1650,0
1651,0
1652,0
1654,0
1655,1
1657,1
1658,1
1659,0
1661,1
1662,1
1664,0
1665,0
1668,1
1669,0
1671,1
1672,0
1673,0
1674,1
1676,1
1678,1
1679,0
1680,0
1683,1
1684,0
1688,0
1690,0
1691,0
1693,1
1694,0
1700,1
1702,1
1703,1
1704,1
1709,1
1713,0
1717,1
1718,1
1719,0
1721,1
1730,0
1732,1
1733,0
1734,1
1736,0
1737,0
1742,0
1743,0
1745,1
1746,1
1748,1
1749,1
1750,1
1751,0
1754,1
1756,1
1757,1
1758,0
1762,1
1764,0
1766,1
1768,0
1774,0
1776,0
1777,0
1779,1
1781,1
1783,1
1786,1
1790,1
1791,1
1792,1
1793,0
1794,0
1795,0
1796,0
1798,0
1799,1
1800,1
1803,1
1804,0
1811,1
1813,1
1814,1
1819,1
1820,0
1821,1
1826,0
1827,0
1830,1
1832,0
1833,1
1837,1
1838,1
1839,1
1840,1
1841,1
1848,0
1849,0
1850,1
1851,0
1852,0
1854,1
1855,0
1856,1
1863,0
1865,0
1866,0
1867,1
1869,1
1873,1
1874,1
1877,1
1878,0
1880,0
1884,1
1885,1
1887,1
1888,0
1891,1
1892,1
1893,1
1895,0
1904,0
1908,0
1912,0
1913,1
1914,0
1916,1
1917,1
1919,1
1920,1
1922,0
1923,1
1924,1
1926,1
1929,1
1931,0
1932,0
1933,0
1934,1
1936,1
1940,1
1941,1
1943,0
1944,0
1945,1
1946,1
1949,1
1950,0
1955,0
1956,0
1957,1
1958,0
1959,1
1960,1
1963,0
1964,0
1966,0
1968,1
1970,1
1972,1
1977,0
1978,1
1981,0
1982,1
1984,0
1988,0
1997,1
1999,1
2002,1
2003,1
2005,0
2007,1
2008,0
2009,1
2010,1
2011,0
2012,1
2013,0
2014,1
2016,1
2018,0
2019,0
2020,1
2022,1
2023,1
2026,1
2027,1
2029,1
2031,1
2035,0
2038,0
2040,0
2042,0
2043,1
2044,0
2045,1
2050,1
2051,1
2053,0
2057,1
2058,0
2060,1
2061,1
2062,0
2063,1
2064,1
2067,0
2068,1
2069,0
2070,0
2071,1
2072,0
2073,0
2074,1
2075,0
2076,0
2078,1
2079,0
2082,0
2083,0
2084,0
2086,0
2087,0
2088,0
2089,1
2090,1
2091,0
2092,1
2095,0
2097,1
2100,1
2102,0
2105,1
2108,1
2109,1
2110,0
2114,1
2117,1
2119,0
2120,0
2121,1
2123,1
2126,0
2128,1
2129,1
2132,1
2134,1
2136,1
2139,1
2144,1
2151,0
2152,1
2154,0
2155,0
2158,0
2159,0
2161,1
2163,1
2164,1
2165,0
2167,0
2168,0
2169,1
2171,0
2172,1
2175,1
2176,1
2178,0
2179,1
2180,0
2181,0
2182,1
2189,1
2190,0
2192,0
2193,1
2194,1
2197,1
2198,1
2199,0
2205,0
2210,0
2216,0
2218,1
2221,1
2222,1
2223,1
2224,1
2228,0
2229,1
2231,0
2234,0
2238,1
2242,1
2246,0
2247,0
2248,1
2249,1
2251,0
2253,0
2257,1
2259,1
2260,1
2263,1
2266,1
2268,1
2270,1
2272,1
2274,0
2277,0
2279,1
2281,1
2283,0
2284,1
2290,0
2291,1
2292,1
2293,0
2294,0
2295,1
2296,1
2297,0
2299,1
2300,0
2301,1
2302,0
2303,0
2304,1
2306,1
2307,1
2309,0
2311,1
2312,1
2313,1
2314,1
2315,1
2318,1
2325,0
2329,0
2330,0
2331,1
2332,1
2334,0
2337,0
2339,0
2341,0
2342,1
2343,0
2344,0
2345,0
2349,0
2350,0
2351,0
2354,0
2355,1
2357,1
2358,1
2359,0
2362,1
2363,0
2364,0
2367,1
2369,1
2370,1
2371,1
2372,0
2374,0
2376,1
2378,1
2380,0
2383,0
2384,0
2385,0
2387,0
2389,0
2390,0
2391,1
2393,1
2394,1
2395,1
2399,1
2402,0
2403,0
2405,1
2406,1
2407,0
2409,0
2412,0
2414,1
2416,1
2423,0
2427,1
2428,0
2431,1
2433,0
2435,0
2437,0
2438,0
2442,1
2443,1
2444,0
2446,1
2447,0
2451,1
2452,1
2453,0
2454,0
2457,0
2459,1
2463,0
2464,0
2465,0
2469,1
2471,1
2472,0
2473,0
2474,0
2476,0
2478,0
2481,0
2487,0
2488,0
2489,0
2491,0
2492,1
2493,1
2495,1
2498,0
2499,0
2500,0
2503,1
2504,0
2505,0
2508,0
2510,0
2511,0
2514,1
2516,1
2517,0
2518,0
2521,1
2522,0
2523,1
2525,1
2526,1
2529,1
2530,1
2531,0
2532,1
2533,1
2537,1
2539,1
2540,0
2544,1
2545,0
2547,0
2550,0
2551,0
2552,1
2553,1
2555,0
2560,0
2562,1
2563,1
2569,1
2571,0
2572,0
2573,0
2574,1
2575,0
2577,1
2578,1
2580,0
2581,1
2582,1
2586,0
2589,0
2590,0
2591,1
2592,0
2593,0
2595,0
2599,0
2600,1
2601,0
2604,0
2605,1
2606,1
2609,0
2610,0
2611,1
2613,0
2614,1
2615,0
2618,1
2621,0
2622,0
2623,1
2624,0
2630,1
2631,0
2632,1
2635,1
2636,1
2638,1
2639,0
2640,1
2641,0
2642,1
2643,0
2645,1
2646,0
2648,0
2650,1
2652,0
2653,0
2657,1
2658,1
2659,0
2663,1
2667,0
2668,1
2669,1
2670,0
2671,1
2672,1
2675,0
2676,0
2678,0
2679,0
2680,0
2681,0
2682,1
2684,1
2685,0
2688,1
2694,0
2696,1
2697,0
2700,0
2702,1
2703,1
2706,0
2717,1
2718,0
2719,0
2720,1
2723,0
2724,1
2726,0
2728,0
2729,0
2730,1
2731,0
2732,1
2733,0
2735,1
2737,0
2738,0
2740,1
2741,0
2742,0
2744,0
2745,1
2746,1
2748,0
2749,0
2752,0
2753,1
2754,0
2757,0
2758,1
2763,1
2764,0
2766,1
2770,0
2771,0
2774,1
2775,0
2777,1
2778,0
2779,0
2781,1
2783,0
2784,0
2786,0
2792,1
2793,1
2797,1
2799,0
2801,1
2803,0
2805,1
2807,1
2809,0
2810,0
2812,1
2813,0
2815,1
2818,1
2820,0
2823,1
2824,0
2825,0
2826,0
2828,0
2830,0
2831,1
2833,1
2835,0
2836,1
2837,1
2838,0
2839,0
2840,1
2842,1
2843,0
2845,0
2846,0
2855,1
2856,0
2859,1
2860,1
2861,0
2862,1
2863,0
2864,0
2868,1
2870,1
2871,1
2872,1
2877,1
2879,0
2882,1
2883,0
2884,0
2887,0
2889,1
2890,0
2894,1
2895,0
2897,1
2900,0
2901,1
2905,1
2906,0
2907,0
2909,1
2910,1
2913,0
2918,1
2919,1
2921,0
2923,0
2928,0
2929,0
2930,0
2932,1
2934,0
2936,1
2941,1
2943,0
2945,0
2946,0
2947,0
2949,0
2950,1
2952,1
2953,0
2959,0
2963,1
2966,1
2967,0
2968,0
2969,0
2973,1
2974,0
2975,1
2977,0
2979,0
2981,1
2983,0
2984,0
2985,1
2986,0
2987,0
2988,1
2991,0
2992,1
2996,1
2997,0
2998,0
3001,0
3004,1
3009,0
3013,0
3014,0
3016,1
3017,0
3018,1
3019,0
3020,0
3021,0
3022,1
3024,1
3027,0
3028,0
3032,1
3034,0
3035,1
3036,1
3037,1
3039,0
3043,0
3044,0
3049,0
3051,1
3053,1
3054,0
3056,1
3057,1
3058,1
3059,1
3061,0
3062,1
3064,0
3065,0
3066,1
3067,0
3071,0
3072,0
3074,1
3077,1
3078,1
3079,0
3084,1
3087,1
3091,0
3092,1
3096,0
3103,1
3107,1
3111,1
3113,0
3114,1
3117,0
3119,1
3120,0
3122,0
3123,0
3124,1
3127,1
3129,1
3132,1
3133,1
3137,0
3138,1
3140,1
3141,1
3142,0
3144,1
3145,0
3148,0
3149,0
3153,0
3156,1
3157,0
3159,1
3161,1
3163,0
3164,1
3167,1
3168,0
3171,1
3173,0
3175,0
3176,1
3179,0
3180,1
3181,1
3184,1
3185,1
3188,1
3194,0
3197,0
3199,0
3203,0
3204,1
3207,0
3210,1
3214,1
3217,0
3219,1
3220,1
3222,1
3223,1
3227,0
3228,0
3230,0
3231,1
3232,0
3233,1
3235,1
3238,0
3240,0
3242,1
3245,1
3248,0
3249,1
3250,0
3251,1
3252,0
3254,0
3256,1
3258,1
3259,0
3260,0
3262,0
3263,1
3264,1
3266,0
3267,0
3268,1
3269,0
3271,1
3272,1
3274,1
3277,0
3278,0
3279,1
3280,1
3281,0
3283,0
3284,0
3286,0
3287,1
3288,1
3289,1
3290,1
3295,0
3297,0
3299,1
3304,0
3306,0
3310,1
3311,0
3312,1
3313,1
3314,0
3316,0
3317,1
3318,0
3319,1
3322,1
3327,0
3328,1
3329,1
3330,1
3331,0
3332,0
3334,0
3335,1
3338,1
3340,1
3341,0
3344,1
3347,1
3348,0
3352,1
3353,1
3354,0
3358,0
